fish_num,market,date,species,height,length,weight,image_name,market_name
74,0007,2022-06-01,고등어,8,40,903.58,0007_20220601_210325_040_008_903.58_고등어.jpeg,목포
73,0007,2022-06-01,고등어,8,40,903.58,0007_20220601_210325_040_008_903.58_고등어.jpeg,목포
72,0007,2022-06-01,고등어,8,40,903.58,0007_20220601_210325_040_008_903.58_고등어.jpeg,목포
71,0007,2022-06-01,고등어,8,40,903.58,0007_20220601_210325_040_008_903.58_고등어.jpeg,목포
70,0007,2022-06-01,고등어,8,40,903.58,0007_20220601_210325_040_008_903.58_고등어.jpeg,목포
69,0007,2022-06-01,고등어,8,40,903.58,0007_20220601_210325_040_008_903.58_고등어.jpeg,목포
68,0007,2022-06-01,고등어,8,40,903.58,0007_20220601_210325_040_008_903.58_고등어.jpeg,목포
67,0007,2022-06-01,고등어,8,40,903.58,0007_20220601_210325_040_008_903.58_고등어.jpeg,목포
66,0007,2022-06-01,고등어,8,40,904,0007_20220601_210325_040_008_903.58_고등어.jpeg,목포
65,0007,2022-06-01,고등어,8,40,904,0007_20220601_210325_040_008_903.58_고등어.jpeg,목포
64,0007,2022-06-01,고등어,8,40,904,[object Object],목포
63,0007,2022-06-01,고등어,8,40,903,0007_20220601_210325_040_008_903.58_고등어.jpeg,목포
62,0007,2022-06-01,고등어,8,40,903,0007_20220601_210325_040_008_903.58_고등어.jpeg,목포
61,0007,2022-06-01,고등어,8,40,903,0007_20220601_210325_040_008_903.58_고등어.jpeg,목포
60,0007,2022-06-01,58,8,40,903,0007_20220601_210325_040_008_903.58_고등어.jpeg,목포
59,0007,2022-06-01,58,8,40,903,0007_20220601_210325_040_008_903.58_고등어.jpeg,목포
58,0007,2022-06-01,58,8,40,903,0007_20220601_210325_040_008_903.58_고등어.jpeg,목포
57,0007,2022-06-01,58,8,40,903,0007_20220601_210325_040_008_903.58_고등어.jpeg,목포
56,0007,2022-06-01,58,8,40,903,0007_20220601_210325_040_008_903.58_고등어.jpeg,목포
55,0007,2022-06-01,58,8,40,903,0007_20220601_210325_040_008_903.58_고등어.jpeg,목포
54,0007,2022-06-01,58,8,40,903,0007_20220601_210325_040_008_903.58_고등어.jpeg,목포
53,0007,2022-06-01,58,8,40,903,0007_20220601_210325_040_008_903.58_고등어.jpeg,목포
52,0007,2022-06-01,58,8,40,903,0007_20220601_210325_040_008_903.58_고등어.jpeg,목포
51,0007,2022-06-01,58,8,40,903,0007_20220601_210325_040_008_903.58_고등어.jpeg,목포
50,0007,2022-06-01,58,8,40,903,0007_20220601_210325_040_008_903.58_고등어.jpeg,목포
49,0007,2022-06-01,58,8,20,81,0007_20220601_210325_020_008_81.58_고등어.jpeg,목포
48,0007,2022-06-01,58369530228393,8,20,81,0007_20220601_210325_020_008_81.58369530228393_고등어.jpeg,목포
47,0007,2022-06-01,58369530228393,8,20,81,0007_20220601_210325_020_008_81.58369530228393_고등어.jpeg,목포
46,0007,2022-06-01,58369530228393,8,20,81,0007_20220601_210325_020_008_81.58369530228393_고등어.jpeg,목포
45,0007,2022-06-01,58369530228393,8,20,81,0007_20220601_210325_020_008_81.58369530228393_고등어.jpeg,목포
44,0007,2022-06-01,58369530228393,8,20,81,0007_20220601_210325_020_008_81.58369530228393_고등어.jpeg,목포
43,0007,2022-06-01,58369530228393,8,20,81,0007_20220601_210325_020_008_81.58369530228393_고등어.jpeg,목포
42,0007,2022-06-01,58369530228393,8,20,81,0007_20220601_210325_020_008_81.58369530228393_고등어.jpeg,목포
41,0007,2022-06-01,58369530228393,8,20,81,0007_20220601_210325_020_008_81.58369530228393_고등어.jpeg,목포
40,0007,2022-06-01,58369530228393,8,20,81,0007_20220601_210325_020_008_81.58369530228393_고등어.jpeg,목포
39,0007,2022-06-01,58369530228393,8,20,81,0007_20220601_210325_020_008_81.58369530228393_고등어.jpeg,목포
